,Glucosidase,Protease,Nitratase,Dehydrogenase,WHC,Conduct,Soil.C,Soil.P,Glomalin,light,k,Soil.N
A1.1.1,0.039250354,0.050919378,0.408415842,0.02970297,0.028833333,0.005247026,2.379,67.2486,0.509151304,0.520493058,0.05,0.811166253
A1.1.2,0.031174229,0.058191895,0.661932802,0.047800485,0.037666667,0.010167031,10.4124,82.732,0.241821617,0.654271119,0.06,0.950721321
A1.1.3,0.008985399,0.010108574,0.299887683,0.128041932,0.048166667,0.008889674,1.001,24.6184,0.262416999,0.282125119,0.08,0.965681183
A1.1.4,0.035036496,0.066788321,0.168613139,0.052554745,0.037241667,0.006761585,0.6933,37.793,0.279662138,0.573786268,0.09,0.909225864
A1.1.5,0.038961039,0.045279045,0.72025272,0.038961039,0.025083333,0.004634167,3.5439,51.3003,0.43837074,0.361511636,0.12,1.159838758
A1.1.6,0.040358744,0.123145912,0.603311487,0.189375647,0.024916667,0.006473859,9.1577,121.76,0.258124236,0.562738249,0.09,0.811977604
A1.1.7,0.105448155,0.068541301,0.130755712,0.059050967,0.021166667,0.012224873,4.0161,77.4552,0.239377618,0.195322946,0.08,1.19
A1.1.8,0.050473186,0.097791798,0.07360673,0.062039958,0.0305,0.008303072,17.3914,446.7359,0.567601618,0.370230447,0.06,0.936134537
A1.1.9,0.046758767,0.056323061,0.165781084,0.082890542,0.029,0.007013771,10.6606,220.8088,0.579918715,0.389930321,0.1,0.880305132
A1.1.10,0.040894792,0.060817896,0.062915065,0.010380986,0.022083333,0.008859968,6.2139,125.0387,0.25867116,0.166583799,0.12,1.133306709
A1.1.11,0.018854749,0.037709497,0.025139665,0.044832402,0.027583333,0.00990189,11.0204,219.9139,0.421498544,0.686450428,0.12,1.119161677
A1.1.12,0.038585209,0.067524116,0.660235798,0.058949625,0.0315,0.008176347,7.0412,184.9668,0.647074398,0.315389031,0.06,0.839567341
A1.1.13,0.027134588,0.044500724,0.153039074,0.06186686,0.040666667,0.007040064,9.8584,163.999,0.623769269,0.215586383,0.04,0.964808362
A1.1.14,0.018499486,0.060637205,0.097636177,0.044193217,0.03325,0.008477089,5.0343,92.9125,0.382916832,0.387941216,0.04,0.867597765
A1.1.15,0.022332506,0.121233605,0.04360156,0.085076214,0.044666667,0.015073799,10.3307,152.0593,0.588892193,0.433921274,0.06,0.8534323
A1.1.16,0.003281079,0.094057601,0.006562158,0.019686475,0.033666667,0.009387241,19.0358,428.2085,0.74973545,0.153769763,0.21,0.96
A1.2.1,0.01603135,0.090844318,0.28001425,0.069469184,0.033583333,0.010790158,2.8333,6.1066,0.143827407,0.516579003,0.05,0.806
A1.2.2,0.037300178,0.132149201,1.40035524,0.006394316,0.033666667,0.007964913,8.1101,211.9462,0.42615528,0.734913872,0.07,0.728
A1.2.3,0.019313305,0.02360515,0.123390558,0.10193133,0.0365,0.011237457,2.7128,34.9548,0.154465861,0.430759143,0.11,0.708
A1.2.4,0.009605123,0.080042689,0.104589114,0.010672359,0.03025,0.01038757,5.5752,145.614,0.344973545,0.412578776,0.07,1.089
A1.2.5,0.005261312,0.081024202,0.016836198,0.069449316,0.048166667,0.012483222,5.5291,125.272,0.437731849,0.639401865,0.07,0.812
A1.2.6,0.052537527,0.113652609,0.094353109,0.050393138,0.028583333,0.010681462,2.6661,24.5726,0.155035673,0.401149805,0.03,0.798
A1.2.7,0.015608741,0.015608741,0.003121748,0.021852237,0.022,0.010916614,4.245,99.8681,0.332572072,0.562274103,0.25,1.18
A1.2.8,0.012592242,0.034710234,0.10589894,0.032921696,0.041833333,0.01636026,2.5574,35.2684,0.186929536,0.449270365,0.1,0.786
A1.2.9,0.015608741,0.080042689,1.117677226,0.01521748,0.04275,0.015136281,2.981,27.2249,0.242182832,0.276670151,0.06,0.987
A1.2.10,0.036684538,0.108326157,0.076031925,0.096774428,0.034583333,0.014704334,4.3559,108.6966,0.185985074,0.451498008,0.07,0.7
A1.4.1,0.013756614,0.092063492,0.284656085,0.034920635,0.02725,0.008528405,14.1069,135.6802,0.448,0.577791372,0.08,1.201392758
A1.4.2,0.06122449,0.081997085,0.195699708,0.04154519,0.043333333,0.017538733,11.3664,243.4228,0.529066667,0.198557038,0.04,0.604
A1.4.3,0.037851478,0.018385004,0.262797404,0.034607066,0.032583333,0.006339793,9.3919,95.6274,0.496,0.414933649,0.05,0.623
A1.4.4,0.009670487,0.106375358,1.981375358,0.018266476,0.035583333,0.014060839,9.3273,242.8922,0.432,0.414472161,0.17,0.978164117
A1.4.5,0.063706564,0.174903475,0.235135135,0.053281853,0.043416667,0.009361066,9.1669,219.7688,0.525866667,0.392546715,0.07,0.977888051
A1.4.6,0.026891359,0.069917533,0.044101829,0.121548942,0.038833333,0.011560263,12.2789,237.6771,0.498133333,0.557209451,0.06,0.867397369
A1.4.7,0.023272214,0.089915374,0.001057828,0.063469676,0.025416667,0.007713272,12.6806,306.3965,0.571733333,0.511302119,0.04,0.894714882
A1.4.8,0.060873234,0.060293907,0.004422896,0.034920635,0.040416667,0.009307126,16.6018,318.6372,0.6464,0.311466297,0.02,0.689
A1.4.9,0.022050732,0.038597587,0.15319123,0.051251451,0.029583333,0.015425701,12.1654,259.3752,0.4928,0.434801722,0.14,0.678
A1.4.10,0.023272214,0.106375358,0.15319123,0.076777456,0.03225,0.011369773,19.5466,333.0951,0.653866667,0.453175212,0.11,0.956
A1.8.1,0.008495575,0.146548673,1.188318584,0.022300885,0.029333333,0.009495694,13.8147,212.3653,0.538666667,0.511066167,0.11,0.706
A1.8.2,0.029713866,0.09244314,0.267424798,0.07703595,0.052333333,0.015463777,8.1625,98.7506,0.3328,0.417440222,0.04,0.675
A1.8.3,0.013953488,0.075134168,0.237209302,0.044007156,0.036083333,0.021327976,15.4675,293.1462,0.570666667,0.517375226,0.11,0.865
A1.8.4,0.030451523,0.224711236,0.696184809,0.035701785,0.029666667,0.005402639,11.6137,172.8153,0.509866667,0.480849596,0.05,0.688
A1.8.5,0.007481297,0.059850374,0.053437834,0.113288208,0.028833333,0.01368193,14.4651,262.1438,0.561066667,0.491968174,0.13,0.683
A1.8.6,0.023613596,0.019320215,0.012880143,0.026833631,0.036833333,0.008877512,13.5473,202.3291,0.528,0.531356882,0.06,0.986
A1.8.7,0.037841626,0.001051156,0.023125438,0.046250876,0.028166667,0.013076217,12.0689,156.6637,0.523733333,0.520792171,0.1,0.712
A1.8.8,0.018150982,0.198566358,0.134510739,0.039638963,0.030333333,0.005442158,19.3378,416.8133,0.606933333,0.590124694,0.06,0.806
A1.8.9,0.037222081,0.058379802,0.807897816,0.036035421,0.033833333,0.010319073,6.5167,130.1054,0.328533333,0.634346043,0.1,0.645
A1.16.1,0.037630662,0.082578397,0.175609756,0.047038328,0.030583333,0.019334178,1.9099,35.1589,0.204533333,0.664809267,0.05,0.556
A1.16.2,0.079166667,0.038541667,0.380208333,0.035625,0.0345,0.009030648,7.8526,122.6236,0.312533333,0.571132608,0.08,0.673
A1.16.3,0.03814433,0.168041237,0.041237113,0.045360825,0.01775,0.009133574,6.5362,185.6091,0.464,0.620676338,0.1,0.668
A1.16.4,0.027228916,0.105335628,0.043373494,0.115283993,0.018666667,0.013421391,6.9481,156.2721,0.3072,0.624236571,0.09,0.504
A1.16.5,0.049513742,0.082452431,0.04756871,0.066596195,0.041,0.012277279,16.3404,258.7657,0.583466667,0.471054981,0.14,0.513
A2.1.1,0.048296518,0.049419693,0.134780981,0.023586672,0.054916667,0.021029694,9.3932,158.5671,0.254933333,0.336250103,0.04,0.749900833
A2.1.2,0.0234375,0.05559593,0.291061047,0.056686047,0.062166667,0.016801513,8.5049,219.408,0.215466667,0.306300705,0.03,0.708623088
A2.1.3,0.01540719,0.026412326,0.014306676,0.040719002,0.067083333,0.02089446,8.8921,145.1049,0.101333333,0.248235957,0.23,0.569944045
A2.1.4,0.001090909,0.114545455,1.266545455,0.015272727,0.059833333,0.013105782,12.0931,276.0094,0.448,0.581020039,0.11,0.587
A2.1.5,0.021821961,0.124696917,0.704537582,0.022861101,0.017916667,0.006745428,10.9689,160.8321,0.325333333,0.491128597,0.23,0.819476139
A2.1.6,0.057877814,0.22829582,2.081457663,0.087888532,0.055,0.014860258,14.5731,301.2385,0.507733333,0.619674076,0.22,0.83366435
A2.1.7,0.046909091,0.128727273,0.350181818,0.031636364,0.046583333,0.01247911,10.7249,214.0808,0.283733333,0.133499163,0.07,0.597058532
A2.1.8,0.005539143,0.196085672,2.07717873,0.009970458,0.044833333,0.016205399,4.9675,178.1165,0.2624,0.292757101,0.07,0.639470014
A2.1.9,0.011853448,0.061555076,0.211663067,0.059395248,0.048,0.008637489,5.2105,106.9841,0.3168,0.3460146,0.13,0.783
A2.1.10,0.033015407,0.071533382,0.10785033,0.045121056,0.042333333,0.010302291,5.4956,148.3038,0.193066667,0.202437404,0.33,0.764
A2.1.11,0.0330373,0.134280639,2.501243339,0.049023091,0.030916667,0.011466162,11.7634,176.6158,0.504533333,0.56709277,0.11,0.736557002
A2.1.12,0.035062089,0.084368152,2.156318481,0.026296567,0.049083333,0.01035663,8.7122,265.2399,0.482133333,0.336205902,0.1,0.468
A2.1.13,0.032079646,0.282079646,2.116150442,0.017699115,0.04925,0.012166476,5.9583,208.325,0.1376,0.395688709,0.05,0.589
A2.1.14,0.020810515,0.202628697,1.531215772,0.029572837,0.07775,0.016510114,3.731,188.1138,0.1312,0.325819996,0.08,0.555710306
A2.1.15,0.016629712,0.22172949,2.090909091,0.219512195,0.05175,0.017065721,10.6459,180.9151,0.301866667,0.45535731,0.19,0.683
A2.1.16,0.078193833,0.172907489,0.622246696,0.047356828,0.04925,0.01045616,8.0742,210.481,0.554666667,0.191026923,0.05,0.672
A2.2.1,0.034065934,0.021978022,0.002197802,0.023076923,0.056,0.013308112,13.7594,198.9751,0.257066667,0.62192682,0.05,0.712
A2.2.2,0.039287013,0.010913059,0.004365224,0.009237335,0.050916667,0.014950338,16.3255,262.2613,0.525866667,0.626449259,0.08,0.604
A2.2.3,0.044919786,0.128342246,1.910160428,0.025668449,0.03385,0.020360201,15.7136,160.7721,0.581333333,0.456567406,0.16,0.612
A2.2.4,0.077441077,0.234567901,1.37037037,0.035914703,0.07325,0.02429042,12.8541,138.0234,0.352,0.54163301,0.21,0.568
A2.2.5,0.030412744,0.051049964,0.243301955,0.015206372,0.042083333,0.010645126,11.5891,206.0332,0.491733333,0.352773384,0.3,0.924
A2.2.6,0.0591133,0.080225194,1.722378607,0.03166784,0.048916667,0.019068068,12.2563,132.5784,0.404266667,0.453631898,0.05,0.546
A2.2.7,0.015390253,0.026383291,1.098699007,0.079149872,0.070833333,0.018907683,14.4089,302.5176,0.4416,0.654310935,0.12,0.634
A2.2.8,0.008775137,0.197020102,1.069989007,0.027422303,0.060333333,0.020421655,10.7297,181.7954,0.174933333,0.536333372,0.16,0.702
A2.2.9,0.055914797,0.026027525,1.37037037,0.009128946,0.055166667,0.011139821,12.0196,134.8695,0.2048,0.238577194,0.06,0.778
A2.2.10,0.031122638,0.232846047,1.37037037,0.013338273,0.048083333,0.012780879,10.3628,140.6064,0.210133333,0.444365643,0.09,0.512
A2.4.1,0.052966102,0.018008475,0.109110169,0.043432203,0.0495,0.018791334,7.9273,338.5449,0.542933333,0.626869338,0.06,0.793471751
A2.4.2,0.086591158,0.050420168,0.016441359,0.040960906,0.054166667,0.013909697,12.2819,160.4129,0.423466667,0.376979741,0,0.819666435
A2.4.3,0.039942425,0.234256927,0.715725081,0.02374955,0.055666667,0.019458026,10.331,172.4569,0.2816,0.362756552,0.05,0.611899291
A2.4.4,0.028008299,0.12033195,1.592323651,0.015560166,0.04025,0.017433548,10.6995,183.7213,0.2816,0.346069306,0.12,0.9325294
A2.4.5,0.031751451,0.062478662,0.14441789,0.05735746,0.031416667,0.01153879,17.6395,310.0035,0.6336,0.622106003,0.09,1.213643178
A2.4.6,0.021015762,0.399299475,0.023117338,0.067250438,0.045083333,0.015751728,11.102,264.8124,0.3456,0.614135188,0.09,0.80723192
A2.4.7,0.054101839,0.068953324,0.276874116,0.046676096,0.046833333,0.009903062,14.4584,188.8858,0.445866667,0.590794199,0.08,0.807692308
A2.4.8,0.037756203,0.176279069,0.109110169,0.07227616,0.058,0.015550493,14.0931,181.9543,0.341333333,0.467997007,0.11,0.737028184
A2.4.9,0.051943671,0.215280025,0.176261595,0.094599493,0.056583333,0.014081954,12.8771,320.9735,0.624,0.548942216,0.13,0.623
A2.4.10,0.032920354,0.176279069,0.250896987,0.097699115,0.050083333,0.019219955,15.4004,433.2168,0.698666667,0.436848218,0.17,0.468
A2.8.1,0.043624161,0.105592841,0.118568233,0.044742729,0.075,0.025381874,13.788,247.568,0.689066667,0.592886514,0.06,0.556
A2.8.2,0.072468917,0.146891652,0.24511545,0.043694494,0.038666667,0.011801243,11.1448,299.239,0.648533333,0.586334876,0.05,0.685
A2.8.3,0.0330033,0.129812981,0.282728273,0.116611661,0.07675,0.017781569,6.4868,168.4733,0.3936,0.515215272,0.08,0.548
A2.8.4,0.067661437,0.191535936,0.307551988,0.05144108,0.047333333,0.015954201,4.4361,192.3062,0.581333333,0.409614338,0.07,0.643
A2.8.5,0.047328792,0.227034779,0.214055217,0.02721047,0.055333333,0.013845228,9.83,241.8219,0.644266667,0.606357341,0.1,0.902059814
A2.8.6,0.08384755,0.043557169,0.871143376,0.068602541,0.075666667,0.012669796,3.6581,86.2085,0.277333333,0.671827234,0.1,0.503
A2.8.7,0.036036036,0.142342342,0.109395109,0.055341055,0.08715,0.015820087,7.927,227.0514,0.577066667,0.766758193,0.13,0.467
A2.8.8,0.036131775,0.138146224,0.344884991,0.059511158,0.04725,0.010957127,8.2174,208.8418,0.597333333,0.644254016,0.07,0.554
A2.8.9,0.024838013,0.117310152,0.118568233,0.081767241,0.04875,0.018613029,5.0433,239.9252,0.394666667,0.648603592,0.12,0.595
A2.16.1,0.036984854,0.206340261,0.374075379,0.047551955,0.048916667,0.017699111,5.6458,162.7451,0.3712,0.502084107,0.08,0.45
A2.16.2,0.033072546,0.112019915,0.261379801,0.073470839,0.045916667,0.017833745,7.4216,187.9276,0.509333333,0.465894869,0.11,0.624950417
A2.16.3,0.055260361,0.186822529,0.102125399,0.049946865,0.05975,0.01253364,7.1121,143.1365,0.2864,0.454232498,0.11,0.495
A2.16.4,0.06423983,0.164882227,0.158458244,0.055674518,0.0615,0.019860984,4.9079,98.8387,0.209066667,0.552448786,0.16,0.508
A2.16.5,0.052725968,0.24856528,0.181850789,0.047345768,0.040416667,0.013980951,8.3293,180.7131,0.439466667,0.613892376,0.03,0.504
A4.1.1,0.013584906,0.070188679,0.01245283,0.015849057,0.074166667,0.017921922,3.9524,131.1193,0.449066667,0.552105233,0.11,0.742
A4.1.2,0.04002885,0.096285611,0.061666066,0.025964659,0.060666667,0.020768556,3.644,82.1279,0.174933333,0.45185175,0.16,0.716
A4.1.3,0.039618489,0.129860602,0.020909758,0.013206163,0.056083333,0.018184302,6.0469,87.2609,0.373333333,0.252791322,0.29,0.878
A4.1.4,0.015572859,0.131256952,0.028921023,0.028921023,0.054,0.015203011,4.2412,74.7067,0.448,0.46338171,0.26,0.909
A4.1.5,0.103729604,0.173659674,0.078088578,0.001165501,0.08875,0.024557079,4.9765,53.6366,0.2304,0.516787435,0.37,0.983
A4.1.6,0.048260382,0.230272597,0.049382716,0.005723906,0.0735,0.013476355,9.8073,261.7826,0.5376,0.58980943,0.12,0.863
A4.1.7,0.034377387,0.08250573,0.004583652,0.060733384,0.091583333,0.021593905,2.6879,48.709,0.278133333,0.22575161,0.17,1.336969334
A4.1.8,0.05433526,0.18265896,0.110982659,0.025433526,0.0935,0.02562341,3.1487,46.3581,0.276266667,0.424934862,0.13,0.852
