,Pl.do,In.up,In.do,In.tt
A1.1.1,134.66,NA,NA,NA
A1.1.2,155.81,NA,NA,NA
A1.1.3,0.74,NA,NA,NA
A1.1.4,21.59,NA,NA,NA
A1.1.5,10.56,NA,NA,NA
A1.1.6,98.41,NA,NA,NA
A1.1.7,3.64,NA,NA,NA
A1.1.8,24.06,NA,NA,NA
A1.1.9,4.88,NA,NA,NA
A1.1.10,0.82,NA,NA,NA
A1.1.11,70.56,NA,NA,NA
A1.1.12,2.46,NA,NA,NA
A1.1.13,2.13,NA,NA,NA
A1.1.14,33.07,NA,NA,NA
A1.1.15,74.56,NA,NA,NA
A1.1.16,0,NA,NA,NA
A1.2.1,77.89,NA,NA,NA
A1.2.2,27.24,NA,NA,NA
A1.2.3,72.08,NA,NA,NA
A1.2.4,54.59,NA,NA,NA
A1.2.5,11.6,NA,NA,NA
A1.2.6,17.38,NA,NA,NA
A1.2.7,85.41,NA,NA,NA
A1.2.8,13.18,NA,NA,NA
A1.2.9,5.42,NA,NA,NA
A1.2.10,17.5,NA,NA,NA
A1.4.1,29.46,NA,NA,NA
A1.4.2,0,NA,NA,NA
A1.4.3,6.99,NA,NA,NA
A1.4.4,45.86,NA,NA,NA
A1.4.5,27.58,NA,NA,NA
A1.4.6,3.99,NA,NA,NA
A1.4.7,79.57,NA,NA,NA
A1.4.8,6.33,NA,NA,NA
A1.4.9,51.46,NA,NA,NA
A1.4.10,49.94,NA,NA,NA
A1.8.1,39.8,NA,NA,NA
A1.8.2,26.6,NA,NA,NA
A1.8.3,31.89,NA,NA,NA
A1.8.4,19.74,NA,NA,NA
A1.8.5,35.12,NA,NA,NA
A1.8.6,18.54,NA,NA,NA
A1.8.7,41.76,NA,NA,NA
A1.8.8,22.73,NA,NA,NA
A1.8.9,31.54,NA,NA,NA
A1.16.1,58.14,NA,NA,NA
A1.16.2,30.59,NA,NA,NA
A1.16.3,37.54,NA,NA,NA
A1.16.4,51.15,NA,NA,NA
A1.16.5,31.97,NA,NA,NA
A2.1.1,71.9,NA,NA,NA
A2.1.2,40.18,NA,NA,NA
A2.1.3,3.13,NA,NA,NA
A2.1.4,23.02,NA,NA,NA
A2.1.5,20.08,NA,NA,NA
A2.1.6,46.06,NA,NA,NA
A2.1.7,0,NA,NA,NA
A2.1.8,20.14,NA,NA,NA
A2.1.9,6.15,NA,NA,NA
A2.1.10,32.93,NA,NA,NA
A2.1.11,27.38,NA,NA,NA
A2.1.12,2.95,NA,NA,NA
A2.1.13,5.19,NA,NA,NA
A2.1.14,1.19,NA,NA,NA
A2.1.15,31.77,NA,NA,NA
A2.1.16,0,NA,NA,NA
A2.2.1,8.07,NA,NA,NA
A2.2.2,24.93,NA,NA,NA
A2.2.3,7.61,NA,NA,NA
A2.2.4,27.54,NA,NA,NA
A2.2.5,4.45,NA,NA,NA
A2.2.6,19.87,NA,NA,NA
A2.2.7,35.82,NA,NA,NA
A2.2.8,37.46,NA,NA,NA
A2.2.9,5.49,NA,NA,NA
A2.2.10,23.48,NA,NA,NA
A2.4.1,118.25,NA,NA,NA
A2.4.2,4.63,NA,NA,NA
A2.4.3,17.92,NA,NA,NA
A2.4.4,3.07,NA,NA,NA
A2.4.5,67.34,NA,NA,NA
A2.4.6,13.8,NA,NA,NA
A2.4.7,32.89,NA,NA,NA
A2.4.8,2.68,NA,NA,NA
A2.4.9,40.7,NA,NA,NA
A2.4.10,23.74,NA,NA,NA
A2.8.1,34.31,NA,NA,NA
A2.8.2,29.75,NA,NA,NA
A2.8.3,51.13,NA,NA,NA
A2.8.4,21.66,NA,NA,NA
A2.8.5,52.02,NA,NA,NA
A2.8.6,56.42,NA,NA,NA
A2.8.7,41.05,NA,NA,NA
A2.8.8,78.44,NA,NA,NA
A2.8.9,58.29,NA,NA,NA
A2.16.1,38.57,NA,NA,NA
A2.16.2,23.35,NA,NA,NA
A2.16.3,17.7,NA,NA,NA
A2.16.4,22.9,NA,NA,NA
A2.16.5,30.84,NA,NA,NA
A4.1.1,97.38,NA,NA,NA
A4.1.2,0,NA,NA,NA
A4.1.3,6.01,NA,NA,NA
A4.1.4,15.68,NA,NA,NA
A4.1.5,23.13,NA,NA,NA
A4.1.6,52.89,NA,NA,NA
A4.1.7,2.49,NA,NA,NA
A4.1.8,29.35,NA,NA,NA
A4.1.9,8.7,NA,NA,NA
A4.1.10,7.41,NA,NA,NA
A4.1.11,120.48,NA,NA,NA
A4.1.12,85.65,NA,NA,NA
A4.1.13,5.02,NA,NA,NA
A4.1.14,1.98,NA,NA,NA
A4.1.15,58.89,NA,NA,NA
A4.1.16,3.75,NA,NA,NA
A4.2.1,29.24,NA,NA,NA
A4.2.2,35.75,NA,NA,NA
A4.2.3,46.45,NA,NA,NA
A4.2.4,36.99,NA,NA,NA
A4.2.5,7.45,NA,NA,NA
A4.2.6,14.68,NA,NA,NA
A4.2.7,47.96,NA,NA,NA
A4.2.8,42,NA,NA,NA
A4.2.9,1.48,NA,NA,NA
A4.2.10,28.83,NA,NA,NA
A4.4.1,61.42,NA,NA,NA
A4.4.2,7.67,NA,NA,NA
A4.4.3,5.93,NA,NA,NA
A4.4.4,5.33,NA,NA,NA
A4.4.5,32.99,NA,NA,NA
A4.4.6,18.96,NA,NA,NA
A4.4.7,35.43,NA,NA,NA
A4.4.8,8.39,NA,NA,NA
A4.4.9,35.92,NA,NA,NA
A4.4.10,36.85,NA,NA,NA
A4.8.1,53.86,NA,NA,NA
A4.8.2,30.25,NA,NA,NA
A4.8.3,14.3,NA,NA,NA
A4.8.4,20.63,NA,NA,NA
A4.8.5,25.25,NA,NA,NA
A4.8.6,16.2,NA,NA,NA
A4.8.7,236.61,NA,NA,NA
A4.8.8,19.73,NA,NA,NA
A4.8.9,30.68,NA,NA,NA
A4.16.1,27.05,NA,NA,NA
A4.16.2,35.73,NA,NA,NA
A4.16.3,65.58,NA,NA,NA
A4.16.4,32.46,NA,NA,NA
A4.16.5,21.67,NA,NA,NA
B1.1.1,149.67,9.14,1.34,10.48
B1.1.2,61.23,0,0,0
B1.1.3,11.04,41.76,11.04,52.8
B1.1.4,27.14,0,0,0
B1.1.5,11.83,0,0,0
B1.1.6,41.79,0,0,0
B1.1.7,6.84,10.24,2.49,12.73
B1.1.8,11.46,18.23,4.3,22.53
B1.1.9,6.07,0,0,0
B1.1.10,8.94,48.09,8.58,56.67
B1.1.11,45.4,0,0,0
B1.1.12,3.47,7.46,1.69,9.15
B1.1.13,2.05,0.67,0.11,0.78
B1.1.14,12.07,0,0,0
B1.1.15,70.44,0,0,0
B1.1.16,5.07,6.41,2,8.41
B1.2.1,56.34,19.33,4.06,23.39
B1.2.2,92,0,0,0
B1.2.3,91.95,23.85,3.01,26.86
B1.2.4,27.23,51.02,11.52,62.54
B1.2.5,13.64,8.64,1.15,9.79
B1.2.6,20.01,0,0,0
B1.2.7,51.21,0,0,0
B1.2.8,49.42,0,0,0
B1.2.9,11.3,31.61,9.69,41.3
B1.2.10,13.02,5.81,1.69,7.5
B1.4.1,48.95,0,0,0
B1.4.2,26.24,0.25,0.06,0.31
B1.4.3,27.59,0,0,0
B1.4.4,20.91,16.4,4.22,20.62
B1.4.5,75.21,0,0,0
B1.4.6,99.05,0,0,0
B1.4.7,31.2,3.3,0.51,3.81
B1.4.8,8.23,0.57,0.06,0.63
B1.4.9,29.23,0,0,0
B1.4.10,25.08,0.87,0.11,0.98
B1.8.1,24.81,0,0,0
B1.8.2,47.8,0.87,0.12,0.99
B1.8.3,17.94,0,0,0
B1.8.4,16.2,0,0,0
B1.8.5,33.85,0,0,0
B1.8.6,22.22,0,0,0
B1.8.7,49.2,0,0,0
B1.8.8,41.55,0,0,0
B1.8.9,30.93,0,0,0
B1.16.1,39.7,0,0,0
B1.16.2,51.36,0,0,0
B1.16.3,24.82,0,0,0
B1.16.4,40.26,0,0,0
B1.16.5,28.83,0.08,0.01,0.09
B2.1.1,56.72,6.23,1.25,7.48
B2.1.2,24.52,15.64,2.83,18.47
B2.1.3,18.15,58.91,17.6,76.51
B2.1.4,29.37,0.69,0.05,0.74
