"","D","I","PR","D.I.PR","PS","design_PD"
"A1.1.1",2,0,0,100,1,0.53035388
"A1.1.2",2,0,0,100,2,0.52419446
"A1.1.3",2,0,0,100,3,0.55148701
"A1.1.4",2,0,0,100,4,0.51906662
"A1.1.5",2,0,0,100,5,0.58146758
"A1.1.6",2,0,0,100,6,0.5536365
"A1.1.7",2,0,0,100,7,0.56142123
"A1.1.8",2,0,0,100,8,0.54491093
"A1.1.9",2,0,0,100,9,0.56338885
"A1.1.10",2,0,0,100,10,0.57818181
"A1.1.11",2,0,0,100,11,0.56506676
"A1.1.12",2,0,0,100,12,0.59968083
"A1.1.13",2,0,0,100,13,0.53955213
"A1.1.14",2,0,0,100,14,0.57259182
"A1.1.15",2,0,0,100,15,0.56227891
"A1.1.16",2,0,0,100,16,0.59396931
"A1.2.1",2,0,1,101,17,0.62319693
"A1.2.2",2,0,1,101,18,0.6182515
"A1.2.3",2,0,1,101,19,0.65698619
"A1.2.4",2,0,1,101,20,0.68513533
"A1.2.5",2,0,1,101,21,0.65780121
"A1.2.6",2,0,1,101,22,0.68047005
"A1.2.7",2,0,1,101,23,0.6231235
"A1.2.8",2,0,1,101,24,0.64804886
"A1.2.9",2,0,1,101,25,0.69297178
"A1.2.10",2,0,1,101,26,0.60467175
"A1.4.1",2,0,2,102,27,0.85760325
"A1.4.2",2,0,2,102,28,0.91640454
"A1.4.3",2,0,2,102,29,0.67702232
"A1.4.4",2,0,2,102,30,0.83066327
"A1.4.5",2,0,2,102,31,0.7973096
"A1.4.6",2,0,2,102,32,0.78313227
"A1.4.7",2,0,2,102,33,0.87655385
"A1.4.8",2,0,2,102,34,0.94420928
"A1.4.9",2,0,2,102,35,0.7707206
"A1.4.10",2,0,2,102,36,0.86935191
"A1.8.1",2,0,3,103,37,1.12450335
"A1.8.2",2,0,3,103,38,1.22001449
"A1.8.3",2,0,3,103,39,1.13226137
"A1.8.4",2,0,3,103,40,1.16123534
"A1.8.5",2,0,3,103,41,1.07876414
"A1.8.6",2,0,3,103,42,0.98631072
"A1.8.7",2,0,3,103,43,1.09871358
"A1.8.8",2,0,3,103,44,1.14525079
"A1.8.9",2,0,3,103,45,1.198028
"A2.1.1",1,0,0,0,1,0.53035388
"A2.1.2",1,0,0,0,2,0.52419446
"A2.1.3",1,0,0,0,3,0.55148701
"A2.1.4",1,0,0,0,4,0.51906662
"A2.1.5",1,0,0,0,5,0.58146758
"A2.1.6",1,0,0,0,6,0.5536365
"A2.1.7",1,0,0,0,7,0.56142123
"A2.1.8",1,0,0,0,8,0.54491093
"A2.1.9",1,0,0,0,9,0.56338885
"A2.1.10",1,0,0,0,10,0.57818181
"A2.1.11",1,0,0,0,11,0.56506676
"A2.1.12",1,0,0,0,12,0.59968083
"A2.1.13",1,0,0,0,13,0.53955213
"A2.1.14",1,0,0,0,14,0.57259182
"A2.1.15",1,0,0,0,15,0.56227891
"A2.1.16",1,0,0,0,16,0.59396931
"A2.2.1",1,0,1,1,17,0.62319693
"A2.2.2",1,0,1,1,18,0.6182515
"A2.2.3",1,0,1,1,19,0.65698619
"A2.2.4",1,0,1,1,20,0.68513533
"A2.2.5",1,0,1,1,21,0.65780121
"A2.2.6",1,0,1,1,22,0.68047005
"A2.2.7",1,0,1,1,23,0.6231235
"A2.2.8",1,0,1,1,24,0.64804886
"A2.2.9",1,0,1,1,25,0.69297178
"A2.2.10",1,0,1,1,26,0.60467175
"A2.4.1",1,0,2,2,27,0.85760325
"A2.4.2",1,0,2,2,28,0.91640454
"A2.4.3",1,0,2,2,29,0.67702232
"A2.4.4",1,0,2,2,30,0.83066327
"A2.4.5",1,0,2,2,31,0.7973096
"A2.4.6",1,0,2,2,32,0.78313227
"A2.4.7",1,0,2,2,33,0.87655385
"A2.4.8",1,0,2,2,34,0.94420928
