"","A1.1.1","A1.1.2","A1.1.3","A1.1.4","A1.1.5","A1.1.6","A1.1.7","A1.1.8","A1.1.9","A1.1.10","A1.1.11","A1.1.12","A1.1.13","A1.1.14","A1.1.15","A1.1.16","A1.2.1","A1.2.2","A1.2.3","A1.2.4","A1.2.5","A1.2.6","A1.2.7","A1.2.8","A1.2.9","A1.2.10","A1.4.1","A1.4.2","A1.4.3","A1.4.4","A1.4.5","A1.4.6","A1.4.7","A1.4.8","A1.4.9","A1.4.10","A1.8.1","A1.8.2","A1.8.3","A1.8.4","A1.8.5","A1.8.6","A1.8.7","A1.8.8","A1.8.9","A2.1.1","A2.1.2","A2.1.3","A2.1.4","A2.1.5","A2.1.6","A2.1.7","A2.1.8","A2.1.9","A2.1.10","A2.1.11","A2.1.12","A2.1.13","A2.1.14","A2.1.15","A2.1.16","A2.2.1","A2.2.2","A2.2.3","A2.2.4","A2.2.5","A2.2.6","A2.2.7","A2.2.8","A2.2.9","A2.2.10","A2.4.1","A2.4.2","A2.4.3","A2.4.4","A2.4.5","A2.4.6","A2.4.7","A2.4.8","A2.4.9","A2.4.10","A2.8.1","A2.8.2","A2.8.3","A2.8.4","A2.8.5","A2.8.6","A2.8.7","A2.8.8","A2.8.9","A4.1.1","A4.1.2","A4.1.3","A4.1.4","A4.1.5","A4.1.6","A4.1.7","A4.1.8","A4.1.9","A4.1.10","A4.1.11","A4.1.12","A4.1.13","A4.1.14","A4.1.15","A4.1.16","A4.2.1","A4.2.2","A4.2.3","A4.2.4","A4.2.5","A4.2.6","A4.2.7","A4.2.8","A4.2.9","A4.2.10","A4.4.1","A4.4.2","A4.4.3","A4.4.4","A4.4.5","A4.4.6","A4.4.7","A4.4.8","A4.4.9","A4.4.10","A4.8.1","A4.8.2","A4.8.3","A4.8.4","A4.8.5","A4.8.6","A4.8.7","A4.8.8","A4.8.9","B1.1.1","B1.1.2","B1.1.3","B1.1.4","B1.1.5","B1.1.6","B1.1.7","B1.1.8","B1.1.9","B1.1.10","B1.1.11","B1.1.12","B1.1.13","B1.1.14","B1.1.15","B1.1.16","B1.2.1","B1.2.2","B1.2.3","B1.2.4","B1.2.5","B1.2.6","B1.2.7","B1.2.8","B1.2.9","B1.2.10","B1.4.1","B1.4.2","B1.4.3","B1.4.4","B1.4.5","B1.4.6","B1.4.7","B1.4.8","B1.4.9","B1.4.10","B1.8.1","B1.8.2","B1.8.3","B1.8.4","B1.8.5","B1.8.6","B1.8.7","B1.8.8","B1.8.9","B2.1.1","B2.1.2","B2.1.3","B2.1.4","B2.1.5","B2.1.6","B2.1.7","B2.1.8","B2.1.9","B2.1.10","B2.1.11","B2.1.12","B2.1.13","B2.1.14","B2.1.15","B2.1.16","B2.2.1","B2.2.2","B2.2.3","B2.2.4","B2.2.5","B2.2.6","B2.2.7","B2.2.8","B2.2.9","B2.2.10","B2.4.1","B2.4.2","B2.4.3","B2.4.4","B2.4.5","B2.4.6","B2.4.7","B2.4.8","B2.4.9","B2.4.10","B2.8.1","B2.8.2","B2.8.3","B2.8.4","B2.8.5","B2.8.6","B2.8.7","B2.8.8","B2.8.9","B4.1.1","B4.1.2","B4.1.3","B4.1.4","B4.1.5","B4.1.6","B4.1.7","B4.1.8","B4.1.9","B4.1.10","B4.1.11","B4.1.12","B4.1.13","B4.1.14","B4.1.15","B4.1.16","B4.2.1","B4.2.2","B4.2.3","B4.2.4","B4.2.5","B4.2.6","B4.2.7","B4.2.8","B4.2.9","B4.2.10","B4.4.1","B4.4.2","B4.4.3","B4.4.4","B4.4.5","B4.4.6","B4.4.7","B4.4.8","B4.4.9","B4.4.10","B4.8.1","B4.8.2","B4.8.3","B4.8.4","B4.8.5","B4.8.6","B4.8.7","B4.8.8","B4.8.9"
"Native4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.186,0,0,0,0,49.24,0,0,36.339,0,0,0,0,8,10.42,0,0,0,0,0,18.4,18.12,12.9,0,0,0,0,0,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.96,0,0,0,0,89.101,0,0,34.18,0,0,0,0,12.35,8,0,0,0,0,0,40.3,0,30.87,0,0,0,0,0,20.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.83,0,0,0,0,8.513,0,0,10.684,0,0,0,0,3.23,41.819,0,0,0,0,0,38.61,11.173,4.54,0,0,3.77,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.08,0,0,0,0,24.37,0,0,43.111,0,0,0,0,155.76,168.58,0,0,0,0,0,2.04,28.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.9,0,0,0,0,52.17,0,0,0,0,0,0,0,3.28,1.74,0,0,0,0,0,0,26.22,2.31,0,0,0,0,0,13.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.84,0,0,0,0,29.81,0,0,13.01,0,0,0,0,2.17,2.37,0,0,0,0,0,21.03,53.85,11.76,0,0,0,0,0,0,0,0
"Native1",0,0,0,0,0,0,0,0,0,0,49.74,0,0,0,0,0,0,48.503,0,0,0,0,0,0,0,0,0,0,0,0,36.06,46.544,0,0,0,0,12.91,3.14,0,0,0,0,37.854,23.542,0,0,0,0,0,0,0,0,0,0,0,94.305,0,0,0,0,0,0,34.02,0,0,0,0,0,0,0,0,0,0,0,0,76.362,18.976,0,0,0,0,29.86,0,0,0,0,0,2.04,67.811,0,0,0,0,0,0,0,0,0,0,0,178.775,0,0,0,0,0,0,151.037,0,0,0,0,0,0,0,0,0,0,0,3.97,17.1,71.976,0,0,0,0,39.437,68.092,0,0,0,0,78.33,13.65,0,0,0,0,0,0,0,0,0,0,0,139.14,0,0,0,0,0,0,120.116,0,0,0,0,0,0,0,0,0,0,0,0,127.69,138.37,0,0,0,0,5.58,62.66,0,0,0,0,7.85,20.94,0,0,0,0,0,0,0,0,0,0,0,98.95,0,0,0,0,0,0,127.98,0,0,0,0,0,0,0,0,0,0,0,0,76.43,119.82,0,0,0,0,11.45,62.63,0,0,0,0,6.56,3.48,0,0,0,0,0,0,0,0,0,0,0,309.34,0,0,0,0,0,0,82.61,0,0,0,0,0,0,0,0,0,0,0,0,34.5,102.92,0,0,0,0,137.4,222.83,0,0,0,0,182.43,63.98,0
"Native2",0,0,0,0,0,0,0,0,31.223,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,30.724,0,0,0,21.82,15.233,0,0,12.13,0,3.12,3.69,0,0,0,3.25,0,0,0,0,0,0,0,0,0,30.666,0,0,0,0,0,0,0,0,0,0,0,3.001,0,0,0,0,0,0,0,0,0,0,0,22.848,3.37,0,0,0,0,0,19.14,0,0,0,0,0,0,0,0,0,0,0,0,0,43.75,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,57.319,43.501,0,0,0,0,11.329,6.88,0,0,0,0,0,0,0,0,0,0,0,0,0,41.51,0,0,0,0,0,0,0,0,0,0,0,27.73,0,0,0,0,0,0,0,0.47,0,0,0,10.31,17.7,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,40.82,0,0,0,0,0,0,0,0,0,0,0,43.05,0,0,0,0,0,0,0,15.77,0,0,0,28.62,21.41,0,0,6.06,0,0,0.78,0,0,0,3.86,0,0,0,0,0,0,0,0,0,27.25,0,0,0,0,0,0,0,0,0,0,0,11.66,0,0,0,0,0,0,0,0,0,0,0,21.19,30.41,0,0,2.15,0,28.78,12.39,0,0,0,0,0
"Native3",0,0,0,0,0,0,14.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17,0,0,0,0,0,0,16.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51,0.58,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0,10.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Native5",0,0,0,0,0,66.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.284,43.019,0,0,40.538,0,0,0,0,0,0,0,21.116,0,46.054,0,49.102,42.011,55.142,38.179,20.705,19.611,44.578,0,0,0,0,0,110.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.842,82.34,0,0,0.65,0,0,0,0,0,0,0,56.436,0,0.04,0,31.515,0,0.3,10.184,0.39,10.75,69.562,0,0,0,0,0,139.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.321,156,0,0,56.78,0,0,0,0,0,0,0,108.752,0,26.024,0,64.453,54.29,57.596,133.265,10.4,70.27,122.838,0,0,0,0,0,176.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.73,118.789,0,0,136.45,0,0,0,0,0,0,0,157.68,0,81.45,0,79.54,40.37,114.5,107.44,167.41,81.33,99.1,0,0,0,0,0,315.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.52,102.94,0,0,183.01,0,0,0,0,0,0,0,131.99,0,70.64,0,197.58,93.88,74.23,97.9,76.38,97.02,65.1,0,0,0,0,0,122.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.24,88.9,0,0,111.96,0,0,0,24.84,0,0,0,142.28,0,8.13,0,62.3,70.88,70.66,39.61,0,52.99,97.27
"Native8",0,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,8,0,0,0,0,0,0,0,0,0,0.56,0,0.81,0,0.52,0,0.15,0,0,0,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13,0,0,0,0,0,0,0,0,0,0,0,0,16.12,12.19,0,0,0,0,0,32.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,3.51,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0.77,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Native7",0,0,0,0,0,0,0,0,0,12.78,0,0,0,0,0,0,0,0,5.05,0,6.25,0,0,7.24,0,0,0,0,0,4.09,0,3.44,0,2.67,10.44,24.5,12.12,0.53,4.34,0,3.44,0,3.21,3.21,2.36,0,0,0,0,0,0,0,0,0,63.78,0,0,0,0,0,0,0,0,65.04,0,18.05,0,0,73.1,0,0,0,0,0,16.38,0,15.98,0,0,10.23,22.12,0,7,6.62,0,0.48,0,0,0,29.61,0,0,0,0,0,0,0,0,0,33.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,2.41,0,0,0,0,0,0,0,0,11.48,0,22.71,0,0,0,0,0,0,0,0,1.58,0,0,0,0.56,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61,0,0,0,0,0,0,0,0,3.98,0,33.06,0,0,1.94,0,0,0,0,0,19.57,0,0,0,1.73,0,2.42,0,0,0,0,0.38,0,0,5.15,0,0,0,0,0,0,0,0,0,0,2.38,0,0,0,0,0,0,0,0,15.08,0,0.77,0,0,1.1,0,0,0,0,0,5.68,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0
"Native6",0,0,0,0,0,0,0,0,0,0,0,16.89,0,0,0,0,0,0,0,0,0,0,0,0,11.08,0,6.12,0,0,8.757,0,6.57,10.73,5.34,0,0,0,2.73,4.112,4.74,5.66,6.35,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,29.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,10.12,8.704,0,0,0,1.67,0,6.506,108.416,67.814,0,9.23,0,0,0,0,0,0,0,0,0,0,0,0,107.41,0,0,0,0,0,0,47.163,0,0,7.842,0,0,17,0,0,38.71,0,24.354,0,14.649,0,1.02,4,0,0,3.14,0.23,5.12,1.77,16.4,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,13.89,0,0,0,0,0,0,0,0,0,4.99,0,0,8.7,0,0,4.48,0,4.49,0,0,19.99,6.31,0,0,0,1.85,0,0.28,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83,0,0,0,0,0,0,0,0,0,4.75,0,0,1.34,0,0,0.03,0,6.56,0,0.79,10.73,7.01,0,0,0,1.45,0,0.08,0.32,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08,0,0,0,0,0,0,0,0,0,6.23,0,0,0,0,0,34.08,0,20.92,0,0,1.96,5.28,0,0,0,0,1.26,0,1.99,0,0,0,0
"Native15",0,0,0,37.503,0,0,0,0,0,0,0,0,0,0,0,0,0,35.76,0,0,0,0,0,0,8.66,55.161,0,0,0,0,0,9.36,0,0,11.56,0,7.33,0,0,9.6,0,0,6.38,0,13.44,0,0,0,39.183,0,0,0,0,0,0,0,0,0,0,0,0,0,39.72,0,0,0,0,0,0,0,0.1,0,0,0,0,0,21.66,0,0,35.25,0,0.69,0,0,0,0,0,34.374,0,10.06,0,0,0,57.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0.63,0,0,0,0,3.85,4.63,0,1.94,0,2.06,0,0,0,69.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,19.09,0,0,0,0,0,1.52,0,0,4.85,0,2.5,0,0,0,0,0,0,0,7.66,0,0,0,55.33,0,0,0,0,0,0,0,0,0,0,0,0,0,20.68,0,0,0,0,0,0,44.29,71.71,0,0,0,0,0,13.65,0,0,3.06,0,1.24,0,0,0,0,0,1.94,0,0,0,0,0,75.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,37.95,51.92,0,0,0,0,0,0,0,0,4.77,0,0,0,0,3.3,0,0,0,0,0.5
"Native13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,20.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
